Subject,Number,Section,Quad,Title / Comment,Credits,Meeting Time,Days,Instructor(s),Fees,Attributes
MUMS,101,0,B,Music Performance Seminar,1,9:20 AM - 10:30 AM,M W,Altino\ Leonardo G.,,VPAM
FREN,101,0,,Elementary French I,4,12:55 PM - 2:05 PM,M W F,Forsberg\ Amy Y.,,
GERM,101,0,,Elementary German I,4,8:00 AM - 9:10 AM,M W F,Shaffer\ Clinton S.,,
LATN,101,0,,Elementary Latin I,4,9:20 AM - 10:30 AM,M W F,Loney\ Alexander C.,,
MSCI,101,0,,Intro to Army/Crit Think,2,6:30 PM - 9:45 PM,R,Frye & Olson,,
PSYC,101,0,,Introduction to Psychology,4,11:15 AM - 1:05 PM,R,Callender\ Aimee A.,,SI
ENGR,101,0,,Intro to Engineering,1,1:15 PM - 2:20 PM,T,Hsu\ David D.,,
PACS,101,0,,Intro to Peace & Conflict,4,11:15 AM - 1:05 PM,T R,McKoy\ Michael K.,,SI
MUCS,102,0,B,Intro To Music:Interdisc,2,8:00 AM - 9:10 AM,M W F,Rakes\ John P.,,VPAM
GERM,103,0,,Accel Elem German,4,8:00 AM - 9:10 AM,M W F,Gascho\ Bethel L.,,
PHIL,103,0,,Philosophy & the Sciences,4,11:35 AM - 12:45 PM,M W F,O'Connor\ Robert C.,,PI\ SIP
MATH,106,0,,Math for Mission & Society,4,1:15 PM - 3:05 PM,T R,Isihara\ Paul,,AAQR
AHS,108,0,,Rock Climbing,1,TBA,MTW  S,Zeigle\ Bryce C.,200,
C E,111,0,A,Foundations of Ministry,2,11:35 AM - 12:45 PM,M W F,Root\ Gerald R.,,
ENGL,112,0,,SWL: Comedy & Tragedy,4,8:30 AM - 10:20 AM,T R,Gibson\ Alison R.,,LE\ VPAT
MUMS,114,0,A,Piano Sight Reading,1,8:00 AM - 9:10 AM,M W F,Stampfl\ Aaron J.,48,
HNGR,114,0,,Poverty\ Justice & Transform Freshmen & Sophomores only.,4,11:15 AM - 1:05 PM,T R,Huff\ James G.,,GP\ SI
URBN,114,0,,Social Life of Cities,4,11:15 AM - 1:05 PM,T R,Tooley\ Christa B.,,GP\ SI
C E,115,0,,Intro to Christian Formation,4,8:30 AM - 10:20 AM,T R,McRay\ Barrett W.,,
MSCI,123,0,,Leadership Laboratory,0,3:45 PM - 5:45 PM,R,Olson\ Aaron M.,,
ENGR,125,0,,Introduction to AutoCAD,2,6:45 PM - 9:35 PM,T,STAFF,65,
MATH,125,0,,Elm and Middle Gr Educ Math,4,11:35 AM - 12:45 PM,M W F,Vanderschoot\ Mary H.,,
MATH,131,0,,Precalculus,4,12:55 PM - 2:05 PM,M W F,STAFF,,AAQR
AHS,134,0,,Equestrian Skills,1,TBA,MTW  S,STAFF,95,
PSCI,135,0,,American Politics and Gov't,4,11:35 AM - 12:45 PM,M W F,Black\ Amy E.,,SI
AHS,136,0,,Mountain Biking,1,TBA,MTW  S,STAFF,95,
MUIP,141,0,,Small Group Voice Lessons,1,TBA,,Gamez & Hart,245,
AHS,148,0,A,Backpacking & Orienteering,1,TBA,,STAFF,340,
MUIP,150,0,,Small Grp Jazz Trumpet Lessons,1,TBA,,Davis & Saylor,245,
MUIP,160,0,,Early Keyboard Lessons,1,TBA,,STAFF,174,
COMM,171,0,A,Intro to Acting - Freshmen & Sophomores only,2,8:30 AM - 10:20 AM,T R,Mangin\ Andrew P.,,VPAT
CSCI,200,0,,Programming for Business,4,2:15 PM - 3:25 PM,M W F,Kim\ Hyunju,,
SCI,200,0,,Intro to Health Prfessions,2,1:15 PM - 3:05 PM,T,Eisenhauer\ Candice L.,,
BIOL,201,0,,Principles of Biology,4,12:55 PM - 2:05 PM,M W F,Burden\ Lisa M.,,SP
CHIN,201,0,,Intermediate Mandarin Chinese,4,12:55 PM - 2:05 PM,M W F,Zhai\ Wenyang,,COMP
ENGR,201,0,,ENGR Mechanics 1 - Statics,4,9:20 AM - 10:30 AM,M W F,Hsu\ David D.,,
GERM,201,0,,Intermediate German,4,12:55 PM - 2:05 PM,M W F,Gascho\ Bethel L.,,COMP
LATN,201,0,,Intermediate Latin,4,11:35 AM - 12:45 PM,M W F,Loney\ Alexander C.,,COMP
MSCI,201,0,,Leadership and Decision Making,2,6:30 PM - 9:45 PM,R,Albuck\ Troy J.,,
