Subject,Number,Section,Quad,Title / Comment,Credits,Meeting Time,Days,Instructor(s),Fees,Attributes
COMM,101,6,A,Public Speaking,2,11:35 AM - 12:45 PM,M W F,Mangin\ Katy A.,0,COMP
COMM,101,7,A,Public Speaking,2,12:55 PM - 2:05 PM,M W F,Mangin\ Katy A.,0,COMP
COMM,101,9,A,Public Speaking,2,2:15 PM - 3:25 PM,M W F,Liu\ Esther H.,0,COMP
COMM,101,11,A,Public Speaking,2,11:35 AM - 12:45 PM,M W F,Schuchardt\ Read M,0,COMP
MUCS,101,1,A,Intro To Music:Historical,2,8:00 AM - 9:10 AM,M W F,Rakes\ John P.,0,VPAM
MUCS,101,2,A,Intro To Music:Historical,2,11:35 AM - 12:45 PM,M W F,Yi\ Gina J.,0,VPAM
MUCS,101,3,A,Intro To Music:Historical,2,12:55 PM - 2:05 PM,M W F,Griffin\ Rose A.,0,VPAM
MUCS,101,4,A,Intro To Music:Historical,2,2:15 PM - 3:25 PM,M W F,Griffin\ Rose A.,0,VPAM
MUTC,101,1,A,Intro to Music: Read/Analysis,2,9:20 AM - 10:30 AM,M W F,Clark\ Micah S.,0,VPAM
ART,101,2,A,Art Survey,2,11:35 AM - 12:45 PM,M W F,Milliner\ Matthew J.,0,VPAV
AHS,101,2,A,Wellness,2,11:35 AM - 12:45 PM,M W F,Daly\ Dana N.,0,NONE
AHS,101,3,A,Wellness,2,8:00 AM - 9:10 AM,M W F,Daly\ Dana N.,0,NONE
AHS,101,7,A,Wellness,2,12:55 PM - 2:05 PM,M W F,Daly\ Dana N.,0,NONE
COMM,101,13,A,Public Speaking,2,6:30 PM - 10:00 PM,R,Rorvik\ John G.,0,COMP
COMM,101,3,A,Public Speaking,2,11:15 AM - 1:05 PM,T R,Robbins\ Kelley K.,0,COMP
COMM,101,1,A,Public Speaking,2,1:15 PM - 3:05 PM,T R,Robbins\ Kelley K.,0,COMP
ART,101,3,A,Art Survey,2,11:15 AM - 1:05 PM,T R,Thompson\ Jeffrey P,0,VPAV
ART,101,6,A,Art Survey,2,1:15 PM - 3:05 PM,T R,Thompson\ Jeffrey P,0,VPAV
MUMS,101,0,B,Music Performance Seminar,1,9:20 AM - 10:30 AM,M W,Altino\ Leonardo G.,0,VPAM
COMM,101,8,B,Public Speaking,2,12:55 PM - 2:05 PM,M W F,Mangin\ Katy A.,0,COMP
COMM,101,10,B,Public Speaking,2,2:15 PM - 3:25 PM,M W F,Liu\ Esther H.,0,COMP
COMM,101,12,B,Public Speaking,2,11:35 AM - 12:45 PM,M W F,Schuchardt\ Read M,0,COMP
MUCS,101,5,B,Intro To Music:Historical,2,2:15 PM - 3:25 PM,M W F,Griffin\ Rose A.,0,VPAM
MUCS,101,6,B,Intro To Music:Historical,2,11:35 AM - 12:45 PM,M W F,Yi\ Gina J.,0,VPAM
MUTC,101,2,B,Intro to Music: Read/Analysis,2,9:20 AM - 10:30 AM,M W F,Clark\ Micah S.,0,VPAM
AHS,101,6,B,Wellness,2,11:35 AM - 12:45 PM,M W F,Penfound\ Jean E.,0,NONE
COMM,101,14,B,Public Speaking,2,6:30 PM - 10:00 PM,R,Rorvik\ John G.,0,COMP
COMM,101,4,B,Public Speaking,2,11:15 AM - 1:05 PM,T R,Robbins\ Kelley K.,0,COMP
COMM,101,5,B,Public Speaking,2,8:30 AM - 10:20 AM,T R,Bell\ Kailey B.,0,COMP
COMM,101,2,B,Public Speaking,2,1:15 PM - 3:05 PM,T R,Robbins\ Kelley K.,0,COMP
ART,101,1,B,Art Survey,2,3:15 PM - 5:05 PM,T R,STAFF,0,VPAV
ART,101,4,B,Art Survey,2,11:15 AM - 1:05 PM,T R,Thompson\ Jeffrey P,0,VPAV
ART,101,5,B,Art Survey,2,1:15 PM - 3:05 PM,T R,Thompson\ Jeffrey P,0,VPAV
AHS,101,1,B,Wellness,2,11:15 AM - 1:05 PM,T R,Penfound\ Jean E.,0,NONE
AHS,101,4,B,Wellness,2,8:30 AM - 10:20 AM,T R,Daly\ Dana N.,0,NONE
AHS,101,5,B,Wellness,2,11:15 AM - 1:05 PM,T R,Daly\ Dana N.,0,NONE
PHIL,101,2,NONE,Introduction to Philosophy,4,2:15 PM - 3:25 PM,M W F,Gordon\ James R.,0,PI
CORE,101,3,NONE,FYS: Why Do We Suffer?,4,9:20 AM - 10:30 AM,M W F,Borden\ Sarah R.,0,NONE
CORE,101,4,NONE,FYS: Living with More Rhythm,4,9:20 AM - 10:30 AM,M W F,Chase\ Kenneth R.,0,NONE
CORE,101,5,NONE,FYS:Where Do We Come From,4,2:15 PM - 3:25 PM,M W F,Moshier\ Stephen O.,0,NONE
CORE,101,2,NONE,FYS: What is Matter?,4,12:55 PM - 2:05 PM,M W F,Walhout\ Peter K.,0,NONE
PSYC,101,0,NONE,Introduction to Psychology,4,11:15 AM - 1:05 PM,R,Callender\ Aimee A.,0,SI
PHIL,101,1,NONE,Introduction to Philosophy,4,8:30 AM - 10:20 AM,T R,Wood\ W. Jay,0,PI
MUIP,101,0,NONE,Private Lessons: Piano,2,TBA,BLANK,Horn\ Daniel P.,512,NONE
MUIP,101,2,NONE,Private Lessons: Jazz Piano,2,TBA,BLANK,Williams & Horn,512,NONE
MUCS,102,0,B,Intro To Music:Interdisc,2,8:00 AM - 9:10 AM,M W F,Rakes\ John P.,0,VPAM
CHIN,102,1,NONE,Elementary Chinese II,4,11:35 AM - 12:45 PM,M W F,Wang\ Rose,0,COMP
CHIN,102,2,NONE,Elementary Chinese II,4,12:55 PM - 2:05 PM,M W F,Wang\ Rose,0,COMP
FREN,102,0,NONE,Elementary French II,4,12:55 PM - 2:05 PM,M W F,Forsberg\ Amy Y.,0,COMP
GERM,102,0,NONE,Elementary German II,4,8:00 AM - 9:10 AM,M W F,Shaffer\ Clinton S.,0,COMP
GREK,102,1,NONE,Elementary Greek II,4,8:00 AM - 9:10 AM,M W F,Penney\ Douglas L.,0,COMP
GREK,102,2,NONE,Elementary Greek II,4,9:20 AM - 10:30 AM,M W F,Laansma\ Jon C.,0,COMP
LATN,102,0,NONE,Elementary Latin II,4,9:20 AM - 10:30 AM,M W F,Loney\ Alexander C.,0,COMP
SPAN,102,1,NONE,Elementary Spanish,4,11:35 AM - 12:45 PM,M W F,Barlar\ Sharenda H.,0,COMP
SPAN,102,2,NONE,Elementary Spanish,4,2:15 PM - 3:25 PM,M W F,Barlar\ Sharenda H.,0,COMP
HIST,102,2,NONE,EGP: New Worlds:1450-1750,4,11:35 AM - 12:45 PM,M W F,Harkrider\ Melissa,0,GP\ HP
HIST,102,1,NONE,EGP:Hist/HistFiction in Africa,4,9:20 AM - 10:30 AM,M W F,Stringham\ Noel C.,0,GP\ HP
HIST,102,3,NONE,EGP:Memoir:Modern Mid East,4,12:55 PM - 2:05 PM,M W F,Stringham\ Noel C.,0,GP\ HP
MSCI,102,0,NONE,Intro to Profession of Arms,2,6:30 PM - 10:00 PM,R,Nigh\ David A.,0,NONE
HIST,102,4,NONE,EGP: The Holocaust,4,1:15 PM - 3:05 PM,T R,Lundin\ Matthew D.,0,GP\ HP
MUIP,102,0,NONE,Private Lessons: Organ,2,TBA,BLANK,Zimmerman\ Edward,512,NONE
MUCS,103,1,A,Intro To Music:20C/World,2,8:30 AM - 10:20 AM,T R,Buis\ Johann S.,0,VPAM
MUCS,103,2,B,Intro To Music:20C/World,2,8:30 AM - 10:20 AM,T R,Buis\ Johann S.,0,VPAM
ENGW,103,1,NONE,Composition and Research,4,9:20 AM - 10:30 AM,M W F,Galbraith\ Jeffrey R.,0,COMP
ENGW,103,3,NONE,Composition and Research,4,11:35 AM - 12:45 PM,M W F,Lapeyre\ Christophe,0,COMP
ENGW,103,4,NONE,Composition and Research,4,2:15 PM - 3:25 PM,M W F,Lapeyre\ Christophe,0,COMP
ENGW,103,5,NONE,Composition and Research,4,9:20 AM - 10:30 AM,M W F,Bieber Lake\ Christin,0,COMP
FREN,103,0,NONE,Accel Elem French,4,11:35 AM - 12:45 PM,M W F,Forsberg\ Amy Y.,0,COMP
SPAN,103,1,NONE,Accel Elem Spanish,4,8:00 AM - 9:10 AM,M W F,Toly\ Rebecca A.,0,COMP
SPAN,103,2,NONE,Accel Elem Spanish,4,12:55 PM - 2:05 PM,M W F,Townsend\ Tamara,0,COMP
PHIL,103,0,NONE,Philosophy & the Sciences,4,11:35 AM - 12:45 PM,M W F,O'Connor\ Robert C.,0,PI\ SIP
