CRN,Subject,Number,Section,Quad,Title / Comment,Credits,Meeting Time,Days,Instructor(s),Room,Fees,Attributes
80002,BIOL,201,0,,Principles of Biology,4,12:55 PM - 2:05 PM,M W F,"Burden, Lisa M.",MEY 265,,SP
80003,BIOL,241,1,,Organization of Life,4,9:20 AM - 10:30 AM,M W F,"Thom, Nathaniel J.",MEY 145,,SP
80004,BIOL,201L,0,,Princ Biology Lab,0,1:15 PM - 4:05 PM,R,"Burden, Lisa M.",MEY 205,,
80005,BIOL,241,2,,Organization of Life,4,11:35 AM - 12:45 PM,M W F,"Thom, Nathaniel J.",MEY 145,,SP
80006,BIOL,241L,1,,College Biology I Lab,0,7:30 AM - 10:20 AM,T,"Ogilvie, Coreen B.",MEY 203,,
80007,BIOL,241L,2,,College Biology I Lab,0,1:15 PM - 4:05 PM,T,"Burden, Lisa M.",MEY 203,,
80008,BIOL,241L,3,,College Biology I Lab,0,6:30 PM - 9:20 PM,T,"Secker, Heather L.",MEY 203,,
80009,BIOL,241L,4,,College Biology I Lab,0,7:30 AM - 10:20 AM,R,"Befus, Matthew A.",MEY 203,,
80010,BIOL,241L,5,,College Biology I Lab,0,12:15 PM - 3:05 PM,R,"Befus, Matthew A.",MEY 203,,
80011,BIOL,241L,6,,College Biology I Lab,0,6:30 PM - 9:20 PM,R,"Secker, Heather L.",MEY 203,,
80012,BIOL,241L,7,,College Biology I Lab,0,2:15 PM - 5:05 PM,W,"Secker, Heather L.",MEY 203,,
80013,BIOL,243,0,,Processes of Life,4,11:35 AM - 12:45 PM,M W F,"Page, L. Kristen",MEY 217,,
80014,BIOL,243L,1,,Ecology & Evolution Lab,0,7:30 AM - 10:20 AM,R,"Page, L. Kristen",MEY 247,85,
80016,BIOL,252,1,,Modeling Systems of Life,4,9:20 AM - 10:30 AM,M W,"Rorem, Nadine C.",MEY 255,,
80017,BIOL,252L,1,,Biol Systems Lab,0,7:30 AM - 10:20 AM,T R,"Rorem, Nadine C.",MEY 245,85,
80019,BIOL,331,0,,Anatomy & Physiology I,4,8:00 AM - 9:10 AM,M W F,"Busch, Jennifer L.",MEY 217,,
80020,BIOL,331L,1,,Anatomy & Physiology I Lab,0,7:30 AM - 10:20 AM,R,"Busch, Jennifer L.",MEY 225,85,
80021,BIOL,331L,2,,Anatomy & Physiology I Lab,0,1:15 PM - 4:05 PM,R,"Busch, Jennifer L.",MEY 225,85,
80022,BIOL,364,0,,Microbiology & Immunology,4,9:20 AM - 10:30 AM,M W F,"Koo, Jovanka T.",MEY 217,,
80023,BIOL,364L,1,,Micro/Immunology Lab,0,7:30 AM - 10:20 AM,T,"Koo, Jovanka T.",MEY 227,85,
80025,BIOL,364L,3,,Micro/Immunology Lab,0,6:30 PM - 9:20 PM,T,"Koo, Jovanka T.",MEY 227,85,
80026,BIOL,494,0,,The Integrated Biologist,2,1:15 PM - 3:05 PM,R,"Page, L. Kristen",MEY 255,,
80027,BIOL,495,0,,Biological Research,2 OR 4,TBA,,STAFF,,100,
80028,BIOL,496,0,,Biology Internship,2 OR 4,TBA,,STAFF,,,
80034,CORE,101,1,,FYS-Biology & Glory of God,4,11:15 AM - 1:05 PM,T R,"Rorem, Nadine C.",MEY 255,,
80035,ENVR,221,0,,"Intro to Environmental ScienceFreshmen & Sophomores only",4,2:15 PM - 3:25 PM,M W F,"Tagne, Gilles V.",MEY 043,40,SP
80036,ENVR,221L,1,,Intro to Envir Science Lab,0,7:30 AM - 10:20 AM,R,"Tagne, Gilles V.",MEY 063,,
80037,ENVR,221L,2,,Intro to Envir Science Lab,0,1:15 PM - 4:05 PM,R,"Tagne, Gilles V.",MEY 063,,
80038,ENVR,495,0,,Environmental Sci Research,2 TO 4,TBA,,STAFF,,,
80039,ENVR,496,0,,Internship,2 TO 4,TBA,,"Keil, Charles B.",,,
80040,CORE,101,2,,FYS-Living in God's Creation,4,9:20 AM - 10:30 AM,M W F,"Keil, Charles B.",MEY 045,,
80042,GEOL,211,1,,Exploring the Dynamic Earth,4,9:20 AM - 10:30 AM,M W F,"Maneiro, Kathryn A.",MEY 021,35,SP
80043,GEOL,211,2,,Exploring the Dynamic Earth,4,2:15 PM - 3:25 PM,M W F,"Heidlauf, Lisa E.",MEY 145,35,SP
80044,GEOL,211L,1,,Dynamic Earth Lab,0,8:30 AM - 10:20 AM,T,"Luhmann, Andrew J.",MEY 043,,
80045,GEOL,211L,2,,Dynamic Earth Lab,0,11:15 AM - 1:05 PM,T,"Heidlauf, Lisa E.",MEY 043,,
80046,GEOL,211L,3,,Dynamic Earth Lab,0,1:15 PM - 3:05 PM,T,"Heidlauf, Lisa E.",MEY 043,,
80048,GEOL,211L,5,,Dynamic Earth Lab,0,11:15 AM - 1:05 PM,R,"Luhmann, Andrew J.",MEY 043,,
80049,GEOL,211L,6,,Dynamic Earth Lab,0,1:15 PM - 3:05 PM,R,"Heidlauf, Lisa E.",MEY 043,,
80050,GEOL,371,0,B,GIS,2,11:35 AM - 12:45 PM,M W F,"Tagne, Gilles V.",MEY 061,,
80051,GEOL,371L,1,B,GIS Lab,0,11:15 AM - 1:05 PM,T,"Tagne, Gilles V.",MEY 061,25,
80053,GEOL,494,0,,Seminar Seminar Geology,2,1:15 PM - 3:05 PM,R,"Moshier, Stephen O.",MEY 042,,
80054,GEOL,495,0,,Problems In Geology,1 TO 4,TBA,,STAFF,,,
80055,GEOL,496,0,,Internship,1 TO 4,TBA,,STAFF,,,
