CRN,Subject,Number,Section,Quad,Title / Comment,Credits,Meeting Time,Days,Instructor(s),Room,Fees,Attributes
10007,ENVR,494,0,,Environmental Science Capstone,2,8:30 AM - 10:20 AM,T,"Keil, Charles B.",MEY 063,,
10008,ENVR,495,0,,Environmental Science Research,2 TO 4,TBA,,STAFF,,,
10010,GEOL,211,1,,Exploring the Dynamic Earth,4,9:20 AM - 10:30 AM,M W F,"Maneiro, Kathryn A.",MEY 021,35,SP
10011,GEOL,211,2,,Exploring the Dynamic Earth,4,2:15 PM - 3:25 PM,M W F,"Tagne, Gilles V.",MEY 145,35,SP
10012,GEOL,211L,1,,Dynamic Earth Lab,0,8:30 AM - 10:20 AM,T,"Heidlauf, Lisa E.",MEY 043,,
10013,GEOL,211L,2,,Dynamic Earth Lab,0,11:15 AM - 1:05 PM,T,"Heidlauf, Lisa E.",MEY 043,,
10014,GEOL,211L,3,,Dynamic Earth Lab,0,1:15 PM - 3:05 PM,T,"Heidlauf, Lisa E.",MEY 043,,
10015,GEOL,211L,4,,Dynamic Earth Lab,0,11:15 AM - 1:05 PM,R,"Heidlauf, Lisa E.",MEY 043,,
10017,GEOL,211L,5,,Dynamic Earth Lab,0,1:15 PM - 3:05 PM,R,"Tagne, Gilles V.",MEY 043,,
10018,GEOL,321,0,,Earth History Stratig,4,12:55 PM - 2:05 PM,M W F,"Maneiro, Kathryn A.",MEY 045,145,SIP
10019,GEOL,321L,0,,Earth History Stratig Lab,0,1:15 PM - 3:05 PM,T,"Maneiro, Kathryn A.",MEY 045,,
10020,GEOL,372,0,,GIS Practicum,2,8:30 AM - 10:20 AM,R,"Tagne, Gilles V.",MEY 061,,
10021,GEOL,308,0,,Energy & Climate Change,4,9:20 AM - 10:30 AM,M W F,"Tagne, Gilles V.",MEY 043,25,SIP
10026,GEOL,495,0,,Problems In Geology,1 TO 4,TBA,,STAFF,,,
10027,GEOL,496,0,,Internship,1 TO 4,TBA,,STAFF,,,
10029,B EC,227,0,,Principles of Accounting II,4,1:15 PM - 3:05 PM,T R,"Tomal, Annette H.",MSC 124,,
